episode_rewards,success_rates,actor_losses,critic_losses,q1_values,q2_values,
-50,0.07,,,,,1
-50,0.05,,,,,
-50,0.07,,,,,
-50,0.07,,,,,
-50,0.09,,,,,
-50,0.055,,,,,
-50,0.05,,,,,
-50,0.045,,,,,
-50,0.09,,,,,
-50,0.495,0,2.024502277,-0.061615057,0.032157928,
-50,0.66,0.126983017,1.900425792,-0.09440133,-0.006769738,
-50,0.41,0,1.736988783,-0.12751323,-0.044697668,
-50,0.18,0.19024764,1.652398825,-0.159781307,-0.081403896,
-50,0.215,0,1.548103571,-0.190868333,-0.11894387,
-50,0.495,0.251158029,1.425752997,-0.221840829,-0.158418924,
-50,0.74,0,1.282186031,-0.253607631,-0.199739456,
-50,0.505,0.316136837,1.179949403,-0.285802662,-0.241125017,
-50,0.525,0,1.09406507,-0.319731116,-0.285950184,
-50,0.82,0.387079537,0.974972188,-0.354473829,-0.330297768,
-50,0.37,0,0.869484782,-0.390409589,-0.378406376,
-50,0.865,0.463027954,0.765858173,-0.429526359,-0.429145873,
-50,0.46,0,0.676591575,-0.469461203,-0.483997822,
-50,0.855,0.548451424,0.578258157,-0.510935426,-0.541534185,
-50,0.86,0,0.494195372,-0.555108368,-0.600514412,
-50,0.935,0.642446995,0.418108761,-0.60218358,-0.664091766,
-50,0.89,0,0.342662692,-0.65105772,-0.72834146,
-50,0.92,0.746510267,0.262463599,-0.703809977,-0.79692477,
-50,0.995,0,0.199823648,-0.758049011,-0.867491245,
-50,1,0.85843575,0.176122114,-0.814332843,-0.937847018,
-50,1,0,0.157202959,-0.873467743,-1.007392168,
-50,1,0.975048184,0.141186744,-0.932401955,-1.071154833,
-50,0.985,0,0.184046239,-0.99041903,-1.130572557,
-50,0.995,1.078834176,0.178505853,-1.047684193,-1.181903481,
-50,0.99,0,0.240905225,-1.099036574,-1.21848464,
-8,0.995,1.152568817,0.181920767,-1.140624762,-1.240670085,
-50,0.99,0,0.344372064,-1.172931314,-1.248043656,
-1,1,1.180976391,0.183199421,-1.194544315,-1.244645119,
-50,1,0,0.222661853,-1.204893351,-1.227824211,
-50,1,1.17168057,0.197737724,-1.206558466,-1.206304312,
-50,1,0,0.157092512,-1.194812536,-1.175696135,
-2,1,1.134513974,0.230782807,-1.183631063,-1.147636175,
0,1,0,0.153059453,-1.162733912,-1.11073184,
-50,1,1.086333156,0.182448566,-1.143251657,-1.083166599,
-50,1,0,0.198141038,-1.113812327,-1.049875855,
-50,1,1.029494047,0.143956959,-1.088560343,-1.021051407,
-50,1,0,0.223545417,-1.059960365,-0.992198467,
-50,1,0.975229502,0.16076684,-1.03424716,-0.97037518,
-50,1,0,0.158406541,-1.003180742,-0.949038863,
-5,1,0.933334231,0.164977908,-0.984589875,-0.934184968,
-50,1,0,0.178368434,-0.967017174,-0.923997283,
-50,,0.910471797,0.197501332,-0.952922463,-0.918853819,
-50,,0,0.19002223,-0.941000164,-0.916343391,
-50,,0.90259254,0.167136148,-0.935652256,-0.917953968,
-50,,0,0.18920204,-0.93307972,-0.924832702,
-50,,0.910505772,0.20861426,-0.937298477,-0.936508775,
-50,,0,0.156589717,-0.939486146,-0.946792483,
-50,,0.929150581,0.181694821,-0.947256446,-0.959359765,
-50,,0,0.184395075,-0.956082344,-0.974360526,
-50,,0.958280444,0.181776151,-0.969335198,-0.993304014,
-1,,0,0.215193853,-0.981463611,-1.010510802,
-50,,0.99133122,0.162075907,-0.999349892,-1.027714252,
-50,,0,0.174056113,-1.015258193,-1.043898344,
-50,,1.023554802,0.204075038,-1.028489828,-1.054317713,
-50,,0,0.186988801,-1.039649367,-1.064797044,
-50,,1.04981339,0.203280509,-1.054638147,-1.074527621,
-50,,0,0.194031417,-1.064788818,-1.0806036,
-50,,1.063087463,0.171561971,-1.06993711,-1.080767632,
-50,,0,0.167889997,-1.077710629,-1.082017183,
-50,,1.070715666,0.168336749,-1.082794666,-1.081956387,
-50,,0,0.152966261,-1.079921246,-1.075019121,
-50,,1.063591957,0.170966998,-1.080596685,-1.071841121,
-50,,0,0.180902347,-1.080158472,-1.068117857,
-50,,1.054272413,0.162901282,-1.074193716,-1.06207931,
-50,,0,0.191080779,-1.071419239,-1.058059335,
-50,,1.045268416,0.186572656,-1.067827582,-1.054507375,
-50,,0,0.20918344,-1.064024925,-1.048773289,
-50,,1.03308773,0.206455842,-1.059072256,-1.041448593,
-50,,0,0.165620685,-1.05520606,-1.04171586,
-50,,1.023346663,0.228627622,-1.049484253,-1.036052227,
-50,,0,0.168693006,-1.046915293,-1.033903599,
-50,,1.023926497,0.170267493,-1.046086073,-1.035613537,
-3,,0,0.230153173,-1.047311664,-1.036252022,
-50,,1.028345823,0.123991802,-1.048339128,-1.043594837,
-50,,0,0.206850812,-1.053322077,-1.046206713,
-50,,1.03333807,0.227162391,-1.056365728,-1.055608511,
-2,,0,0.130672216,-1.05809176,-1.052097797,
-50,,1.042396307,0.190802395,-1.063963175,-1.067608714,
-50,,0,0.196611166,-1.070654869,-1.069897532,
-50,,1.048641205,0.203176871,-1.076845884,-1.077093601,
-50,,0,0.188675866,-1.080320358,-1.073087096,
-50,,1.052230716,0.162328675,-1.087026238,-1.082842827,
-50,,0,0.222477853,-1.089483738,-1.086510658,
-50,,1.038507342,0.220124841,-1.083347082,-1.08349669,
-50,,0,0.171207964,-1.084862709,-1.077110767,
-50,,1.027984381,0.199222609,-1.081939697,-1.078244209,
-50,,0,0.231095284,-1.079176545,-1.069907188,
-50,,1.011363506,0.210642189,-1.075389743,-1.06888175,
-50,,0,0.164872929,-1.071397424,-1.069253445,
-50,,1.009264827,0.169245511,-1.070003271,-1.065774202,
-50,,0,0.155676186,-1.074486971,-1.064915419,
-50,,1.025116205,0.174039185,-1.083113194,-1.083543897,
-50,,0,0.172804952,-1.093117237,-1.091701984,
-50,,1.036700487,0.217445582,-1.105073452,-1.101451278,
-50,,0,0.171751797,-1.111063242,-1.102867961,
-50,,1.039241195,0.158596709,-1.114870787,-1.110390425,
-50,,0,0.222162843,-1.11950779,-1.112258434,
-50,,1.026642799,0.195924908,-1.116925597,-1.111979008,
-50,,0,0.207333148,-1.113087177,-1.1057446,
-50,,1.002472639,0.222285822,-1.105322361,-1.095648527,
-50,,0,0.19848296,-1.093483925,-1.078843951,
-50,,0.990500331,0.158284366,-1.081884623,-1.072022676,
-50,,0,0.1408889,-1.092237115,-1.082217813,
-50,,1.016862154,0.185178936,-1.093978286,-1.092995882,
-50,,0,0.192494586,-1.102802038,-1.103209734,
-50,,1.042941689,0.194006503,-1.112821937,-1.118441939,
-50,,0,0.218603209,-1.125106096,-1.127087116,
-50,,1.059021354,0.201096281,-1.129916787,-1.130612373,
-50,,0,0.156784177,-1.133120179,-1.127963305,
-50,,1.070465326,0.157204643,-1.131807089,-1.124745369,
-50,,0,0.17513068,-1.133407593,-1.125079989,
-50,,1.080646515,0.189037949,-1.136617541,-1.125391722,
-50,,0,0.19766742,-1.131743908,-1.120946646,
-50,,1.08160913,0.191035405,-1.12624228,-1.118581057,
-50,,0,0.161090016,-1.118190289,-1.114379406,
-50,,1.100307465,0.173673138,-1.126644373,-1.12637949,
-50,,0,0.253804892,-1.11884737,-1.121621609,
-50,,1.103316665,0.162314132,-1.120963097,-1.121657491,
